strain	geographic_location	alternate_name	biovar	foci	Other_1	Other_2
SCPM-O-B-7075	"Russia, Altai Mountains"	?-513	Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-B-7469	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-B-7812	"Russia, Altai Mountains"	I-3455	Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-DNA-01	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-DNA-02	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-DNA-03	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-DNA-04	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-DNA-05	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-DNA-06	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-DNA-07	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-DNA-08	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-DNA-09	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-DNA-10	"Russia, Altai Mountains"		Medievalis	Altaica	"Mountain-Altai focus, #36"	
SCPM-O-B-6176	Dagestan	C-535	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	"Armenia/Azerbaijan,Georgia"
SCPM-O-B-6300	Armenia/Azerbaijan/Georgia	?-291	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-6536	Armenia/Azerbaijan/Georgia	?-346	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-6540	Armenia/Azerbaijan/Georgia	?-666	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-6757	Armenia/Azerbaijan/Georgia	?-235	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-6904	Armenia/Azerbaijan/Georgia	?-537	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-6974	Armenia/Azerbaijan/Georgia	?-197	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-6983	Armenia/Azerbaijan/Georgia		Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-6984	Armenia/Azerbaijan/Georgia	?-267	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-6986	Armenia/Azerbaijan/Georgia		Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-6990	Armenia/Azerbaijan/Georgia	?-290	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-6992	Dagestan	C-700	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-6994	Dagestan	C-739	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-7005	Dagestan	C-824	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-7037	Dagestan	C-370	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-7040	Dagestan	C-678	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-7042	Dagestan	C-712	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-7111	Dagestan	C-746	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-7761	Armenia/Azerbaijan/Georgia	C-590	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-7832	Armenia/Azerbaijan/Georgia	?-359	Antiqua	Caucasica	"Transcaucasian highland, focus #4-6"	
SCPM-O-B-4470	Tajikistan/Uzbekistan		Medievalis	Hissarica	"Gissar Focus #34, Tajikistan, Uzbekistan"	
SCPM-O-B-6304	Tajikistan/Uzbekistan	5307-Gis	Medievalis	Hissarica	"Gissar Focus #34, Tajikistan, Uzbekistan"	
SCPM-O-B-7283	UNKNOWN		Medievalis	Medievalis		
SCPM-O-DNA-13	UNKNOWN			Microtus		
SCPM-O-DNA-14	UNKNOWN			Microtus		
SCPM-O-B-4664	Kyrgyzstan		Medievalis	Talassica	"Talas Focus, #40"	
SCPM-O-B-7019	Kyrgyzstan	?-1804	Medievalis	Talassica	"Talas Focus, #40"	
SCPM-O-B-7074	Kyrgyzstan	?-1807	Medievalis	Talassica	"Talas Focus, #40"	
SCPM-O-B-6213	"Mongolia, Bayan-Ulgii"	I-2239	Medievalis	Ulegeica	"Northeast Mongolia, Gobi Desert"	
SCPM-O-B-6706	"Mongolia, Bayan-Ulgii"	I-3189	Medievalis	Ulegeica	"Northeast Mongolia, Gobi Desert"	
SCPM-O-B-6706	"Mongolia, Bayan-Ulgii"	I-3189	Medievalis	Ulegeica	"Northeast Mongolia, Gobi Desert"	
SCPM-O-B-6906	"Mongolia, Bayan-Ulgii"	I-2422	Medievalis	Ulegeica	"Northeast Mongolia, Gobi Desert"	"The genus Yersinia, from genomics to function'"
SCPM-O-B-6216	"Mongolia, Hongor Hudag, Bayan"	I-3134		Xilingolensis	Mongolia	
SCPM-O-DNA-11	Inner Mongolia			Xilingolensis	Mongolia	
SCPM-O-DNA-12	Inner Mongolia			Xilingolensis	Mongolia	
