strain	collection_date	host	geographic_location	alternative_strain
B41976001	1976		China	B1976002
B41976003	1976		China	B1976004
A1966001	1966		China	A1966002
B21972002	1972		China	B1972002
B31965001	1965		China	B1965004
B31971001	1971		China	B1971001
B31981001	1981		China	B1981002
B31983002	1983		China	B1983005
K21987003	1987		China	C1987002
B21959001	1959		China	B1959001
B21984003	1984		China	B1984002
B42003004	2003		China	
A1956001	1956		China	
A1992001	1992		China	A1992002
B11989001	1989		China	A1989002
Pestoides A	<1984		USSR	PEST-A
Pestoides B	<1984		USSR	PEST-B
Pestoides C	<1984		USSR	PEST-C
Pestoides D	<1984		USSR	PEST-D
Pestoides F	<1984		USSR	PEST-F
Pestoides E	<1984		USSR	PEST-E
Pestoides G	<1984		USSR	PEST-G
Angola	<1984		Angola	
M1997001	1997		China	M1997005
M0000002	1987		China	M1987002
M2001009	2001		China	
M2001010	2001		China	
91001	1970		China	
L1970002	1970		China	
L1970011	1970		China	L1970015
L1970006	1970		China	L1970009
C1962002	1962		China	
UG05-0454	2004		Uganda	
Antiqua	1965		Congo	
IP549	1953		Congo	Logo 1/53
IP544	<1984		Kenya	Muimi
IP545	<1979		Kenya	David Matata
IP547	1948		Kenya	Dar Es Salem
IP548	1948		Congo	343
IP550	<1981		Kenya	Edmond
IP554	<1983		Kenya	Rosaline
IP677	1981		Kenya	Beatrice
IP551	<1981		Kenya	Tanzania
IP552	<1982		Kenya	Margaret
IP553	<1981		Kenya	Kyule
IP536	1955		Kenya	129
IP537	1952		Kenya	147
IP538	1952		Kenya	162
IP539	1952		Kenya	164
IP540	1952		Kenya	169
IP542	1952		Kenya	144
IP543	1953		Congo	Lita
IP566	1964		Kenya	129M
K21985002	1985		China	C1985002
K21985003	1985		China	C1985003
K21985006	1985		China	C1985005
C1954001	1954		China	C1954002
C1960001	1960		China	C1960004
C1960003	1960		China	
C1962003	1962		China	C1962001
C1970005	1970		China	C1970022
C1972004	1972		China	C1972003
C1975003	1975		China	C1975001
C1976002	1976		China	C1976001
C1976005	1976		China	C1976002
C1977001	1977		China	
C1979002	1979		China	C1979001
C1980002	1980		China	C1980003
C1989001	1989		China	
C1994002	1994		China	
C2000001	2000		China	
D1964001	1964		China	D1964013
D1964002	1964		China	D1964003
D1977001	1977		China	
D1982001	1982		China	D1982002
D1984001	1984		China	C1984011
D1991004	1991		China	D1991002
D1991005	1991		China	D1991003
F1952001	1952		China	
H1954003	1954		China	I1954003
E1954001	1954		China	E1954005
F1954001	1954		China	F1984002
