id	warning	biosample_id	biosample_accession	biosample_secondary_accession	bioproject_accession	organism	strain	organization	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	host	biovar	description	publication_date	modification_date
1		8336759	SAMEA104210777		PRJEB6403	Yersinia pestis	NCTC144	EBI	1920	London/Bombay				Guinea Pig		d15d7ea8-7690-11e7-b3b7-3c4a9275d6c8	2018/01/10	2018/01/20
2		7633887	SAMEA104233046		PRJEB19335	Yersinia pestis	Gyvakarai1	EBI	-2535	Lithuania, Gyvakarai1				Human		Gyvakarai1	2017/09/11	2017/09/12
3		7633888	SAMEA104233047		PRJEB19335	Yersinia pestis	KunilaII	EBI	-2477	Estonia, Kunilall				Human		KunilaII	2017/09/11	2017/09/12
4		7634396	SAMEA104233048		PRJEB19335	Yersinia pestis	Post6	EBI	-1923	Germany, Augsburg				Human		Post6	2017/09/11	2017/09/12
5		7633889	SAMEA104233049		PRJEB19335	Yersinia pestis	1343UnTal85	EBI	-2253	Germany, Augsburg				Human		1343UnTal85	2017/09/11	2017/09/12
6		7633890	SAMEA104233050		PRJEB19335	Yersinia pestis	GEN72	EBI	-2771	Croatia, Beli Manastir				Human		GEN72	2017/09/11	2017/09/12
7		7633891	SAMEA104233051		PRJEB19335	Yersinia pestis	RK1001	EBI	-2770	Russia, Rasshevatskiy				Human		RK1001	2017/09/11	2017/09/12
8		8399597	SAMEA104281628		PRJEB6403	Yersinia pestis	NCTC5923	European Bioinformatics Institute	1939	London/Javan						NCTC5923	2018/01/26	2018/01/26
10		4295757	SAMEA3673143		PRJEB11860	Yersinia pestis	Algeria 3	EBI	2015	Algeria, Chott el Hodna				Soil		Yersinia pestis	2015/11/25	2018/01/19
11		4414154	SAMEA3713711		PRJEB12163	Yersinia pestis	OBS107	EBI	1720-1722	France, Marseille				Human		OBS107	2016/05/20	2018/01/20
12		4414155	SAMEA3713712		PRJEB12163	Yersinia pestis	OBS110	EBI	1720-1722	France, Marseille				Human		OBS110	2016/05/20	2018/01/20
13		4414156	SAMEA3713713		PRJEB12163	Yersinia pestis	OBS116	EBI	1720-1722	France, Marseille				Human		OBS116	2016/05/20	2018/01/20
14		4414157	SAMEA3713714		PRJEB12163	Yersinia pestis	OBS124	EBI	1720-1722	France, Marseille				Human		OBS124	2016/05/20	2018/01/20
15		4414158	SAMEA3713715		PRJEB12163	Yersinia pestis	OBS137	EBI	1720-1722	France, Marseille				Human		OBS137	2016/05/20	2018/01/20
16		5215669	SAMEA3937653		PRJEB13664	Yersinia pestis	Barcelona3031	EBI	1300-1420	Spain, Barcelona				Human		Barcelona3031	2016/06/11	2016/06/15
17		5215670	SAMEA3937654		PRJEB13664	Yersinia pestis	BolgarCity2370	EBI	1298-1388	Russia, Bolgar City				Human		BolgarCity2370	2016/06/11	2016/06/15
18		5215671	SAMEA3937655		PRJEB13664	Yersinia pestis	Ellwangen549_O_c	EBI	1485-1627	Germany, Ellwangen				Human		Ellwangen549_O_c	2016/06/11	2016/06/15
19		5215672	SAMEA3937656		PRJEB13664	Yersinia pestis	Ellwangen549_O_m	EBI	1485-1627	Germany, Ellwangen				Human		Ellwangen549_O_m	2016/06/11	2016/06/15
20		5782961	SAMEA4354665		PRJEB14851	Yersinia pestis	AE1175	EBI	428-571	Germany, Altenerding				Human		AE1175; Sample AE1175	2016/10/04	2016/10/05
21		5517974	SAMEA4368873		PRJEB15052	Yersinia pestis	Algeria3	EBI	2015	Algeria, Chott el Hodna				Soil		PRJEB15052	2016/08/05	2018/01/21
22		26263	SAMEA715985		PRJEB2029	Yersinia pestis biovar Orientalis str. IP674	IP674	EBI	1952	Turkey						YPIP674	2016/02/15	2018/01/20
23		2404405	SAMN00004706	SAMN02404405	PRJNA41469	Yersinia pestis KIM D27	KIM D27	J. Craig Venter Institute	1968	Kurdistan						Generic sample from Yersinia pestis KIM D27	2013/11/15	2015/02/12
24		2403086	SAMN00115134	SAMN02403086	PRJNA47685	Yersinia pestis I1991001	I1991001	Beijing Genomics Institute	1991	Inner Mongolia, China	41.55	108.52		Meriones unguiculatus	Mediaevalis	Generic sample from Yersinia pestis I1991001	2013/11/15	2014/03/07
25		2402991	SAMN00115135	SAMN02402991	PRJNA47685	Yersinia pestis 12	12	Beijing Genomics Institute	2004	Qinghai, China	38.2	100.22		Human	Antiqua	Generic sample from Yersinia pestis 12	2013/11/15	2014/03/07
26		2403007	SAMN00115136	SAMN02403007	PRJNA47685	Yersinia pestis 5761	5761	Beijing Genomics Institute	1956	St.Petersberg, Russia	NA	NA		Rattus norvegicus	Antiqua	Generic sample from Yersinia pestis 5761	2013/11/15	2014/03/07
27		2402992	SAMN00115137	SAMN02402992	PRJNA47685	Yersinia pestis 164	164	Beijing Genomics Institute	1985	Xinjiang, China	39	88.1		Oropsylla silantiewi	Antiqua	Generic sample from Yersinia pestis 164	2013/11/15	2014/03/07
28		2402993	SAMN00115138	SAMN02402993	PRJNA47685	Yersinia pestis 2	2	Beijing Genomics Institute	2004	Qinghai, China	32.23	96.47		Human	Antiqua	Generic sample from Yersinia pestis 2	2013/11/15	2014/03/07
29		2402994	SAMN00115139	SAMN02402994	PRJNA47685	Yersinia pestis 2330	2330	Beijing Genomics Institute	2003	Xinjiang, China	44.95	81.08		Marmota baibacina	Antiqua	Generic sample from Yersinia pestis 2330	2013/11/15	2014/03/07
30		2402995	SAMN00115140	SAMN02402995	PRJNA47685	Yersinia pestis 2504	2504	Beijing Genomics Institute	2005	Xinjiang, China	44.02	88.11		Rhombomys opimus	Mediaevalis	Generic sample from Yersinia pestis 2504	2013/11/15	2014/03/07
