strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	Established
2	2004	"Qinghai, China"	32.23	96.47	Third Pandemic	Yes
5	2004	"Qinghai, China"	36.9	98.46	Third Pandemic	Yes
7	2004	"Qinghai, China"	36.9	98.46	Third Pandemic	Yes
9	1994	India: Surat	21.17024	72.831061	Third Pandemic	No
9	2004	"Qinghai, China"	33.35	97.12	Third Pandemic	Yes
12	2004	"Qinghai, China"	38.2	100.22	Third Pandemic	Yes
91	1987	"Xinjiang, China"	38.09	85.32	Third Pandemic	Yes
113	1994	India: Surat	21.17024	72.831061	Third Pandemic	No
164	1985	"Xinjiang, China"	39	88.1	Third Pandemic	Yes
735	1965	"St. Petersberg, Russia"	59.93428	30.335099	Third Pandemic	Yes
771	1966	Georgia: Dedophlistskaro	41.467225	46.117522	Third Pandemic	No
790	1961	Kyrgyzia	41.20438	74.766098	Third Pandemic	Yes
945	1994	"Xinjiang, China"	44.29	85.56	Third Pandemic	Yes
1045	1976	Azerbaijan: Apsheron Peninsula	40.463667	49.957581	Third Pandemic	No
1412	1979	Georgia: Dalidag	33.753068	-84.385282	Third Pandemic	Yes
1413	1979	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Yes
1522	1975	Armenia: Shirak Province	40.963081	43.810246	Third Pandemic	Yes
1670	1979	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Yes
1866	Missing	USA: NM	34.51994	-105.87009	Third Pandemic	No
2055	1998	USA: NM	34.51994	-105.87009	Third Pandemic	No
2106	2001	USA: NM	34.51994	-105.87009	Third Pandemic	No
2330	2003	"Xinjiang, China"	44.95	81.08	Third Pandemic	Yes
2501	2005	"China: Junggar Basin, Xinjiang"	40.546044	81.292087	Third Pandemic	No
2504	2005	"Xinjiang, China"	44.02	88.11	Third Pandemic	Yes
2506	2005	"Xinjiang, China"	44.02	88.11	Third Pandemic	Yes
2654	2006	"Xinjiang, China"	44.02	88.11	Third Pandemic	Yes
2772	1984	USA: NM	34.51994	-105.87009	Third Pandemic	No
2944	1975	Russia: Kabardino-Balkaria	43.393247	43.56285	Third Pandemic	Yes
2965	1995	USA: NM	34.51994	-105.87009	Third Pandemic	No
3067	1982	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Yes
3357	1999	USA: NM	34.51994	-105.87009	Third Pandemic	No
3770	1983	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Yes
4139	1995	USA: NM	34.51994	-105.87009	Third Pandemic	No
4412	1991	USA: NM	34.51994	-105.87009	Third Pandemic	No
4954	1987	USA: NM	34.51994	-105.87009	Third Pandemic	No
5001	1956	"China, Xinghai"	35.588612	99.987965	Third Pandemic	No
5006	1960	"China, Xinghai"	35.588612	99.987965	Third Pandemic	No
5008	1960	"China, Xinghai"	35.588612	99.987965	Third Pandemic	No
5761	1956	"St.Petersberg, Russia"	59.93428	30.335099	Third Pandemic	Yes
7338	1973	"Xinjiang, China"	37.12	79.94	Third Pandemic	Yes
8787	1992	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Yes
14735	1975	Georgia	41.267146	43.587667	Third Pandemic	Yes
30017	1976	"Tibet, China"	31.47	92.1	Third Pandemic	Yes
34008	1968	"Tibet, China"	29.66	84.15	Third Pandemic	Yes
34202	1990	"Tibet, China"	30.37	81.18	Third Pandemic	Yes
42013	1971	"Xinjiang, China"	44.45	84.62	Third Pandemic	Yes
42082	1995	"Xinjiang, China"	44.45	84.62	Third Pandemic	Yes
42091	1999	"Xinjiang, China"	44.45	84.62	Third Pandemic	Yes
42095	2001	"Xinjiang, China"	44.45	84.62	Third Pandemic	Yes
71021	1989	"Gansu, China"	38.46	94.25	Third Pandemic	Yes
90953	2009	"China, Xinghai"	35.588612	99.987965	Third Pandemic	No
90954	2009	"China, Xinghai"	35.588612	99.987965	Third Pandemic	No
