lat	lon	count
-19.015438	29.154857	1
-18.843222	47.469747	1
-18.766947	46.869107	3
-18.46	46.52	31
-15.71171171	46.31395349	4
-9.189967	-75.015152	1
-8.89429	-77.7083	1
-8.109052	-79.021534	6
-7.714114	-79.107256	32
-7.614529	110.712246	1
-7.404005	-79.565078	3
-6.558193	-78.648384	11
-5.709441	-78.798618	6
-4.038333	21.758664	1
-1.292066	36.821946	1
-0.789275	113.921327	1
1.373333	32.290275	1
12.740913	77.825292	1
19.075984	72.877656	1
20.593684	78.96288	1
21.17024	72.831061	2
21.916221	95.955974	1
23.146712	99.246196	1
23.15	99.24	1
23.35	102.42	1
23.92	99.02	1
24	97.83	1
24.08	98.08	1
24.33	97.96	1
24.69	97.93	1
24.8	105.34	1
25.44	119	1
25.48	100.56	1
26.53	99.88	7
26.537033	99.905559	1
26.58	118.75	1
26.821459	100.236954	1
27.98	91.91	1
28.394857	84.124008	1
28.46	92.42	1
29.39	90.7	1
29.66	84.15	1
29.71	89.02	1
30.2	91.24	1
30.37	81.18	1
31.104815	77.173403	1
31.47	92.1	1
31.476202	92.051239	1
31.968599	-99.901813	1
32.23	96.47	2
32.29	91.68	1
32.92	95.3	1
33.01	98.06	1
33.03	96.97	1
33.35	97.12	3
33.753068	-84.385282	1
34.048928	-111.093731	1
34.51994	-105.87009	13
34.75	101.62	1
34.92	98.26	1
35.03	101.5	1
35.061436	-106.191414	1
35.24	100.63	1
35.434491	4.603723	1
35.528078	-108.742584	1
35.57	100.75	1
35.588612	99.987965	10
35.594214	-105.222798	1
35.6	99.99	3
35.686975	-105.937799	8
35.72	105.08	1
35.955358	47.136213	1
35.97	105.7	1
36.134993	-111.239863	1
36.27	100.61	1
36.56	105.64	1
36.72	101.28	1
36.778261	-119.417932	3
36.89	100.99	1
36.9	98.46	2
37.09024	-95.712891	2
37.12	79.94	2
37.37	101.62	3
37.6	107.59	3
37.616089	54.769131	1
37.839333	-84.270018	1
38.09	85.32	2
38.1	106.34	1
38.2	100.22	2
38.46	94.25	3
38.86	99.57	1
38.861034	71.276093	2
38.963745	35.243322	1
39	88.1	2
39.12	107.97	2
39.2	46.4	1
39.550051	-105.782067	1
39.7	75.18	3
39.73	76.12	1
39.840737	72.898807	1
40.069099	45.038189	2
40.463667	49.957581	1
40.546044	81.292087	1
40.712775	-74.005973	1
40.963081	43.810246	1
41.000137	55.666887	1
41.08854	45.34708	11
41.117269	-73.414394	1
41.20438	74.766098	6
41.267146	43.587667	1
41.27137	43.587939	10
41.281671	69.262552	1
41.385064	2.173403	1
41.467225	46.117522	1
41.55	108.52	1
41.626271	-79.673584	1
41.679476	54.966509	1
41.87	114.6	1
41.9	114	1
41.942454	47.309124	1
42.086662	79.245071	1
42.143189	47.09498	9
42.185943	77.561942	1
42.25	116.02	2
42.32	115	1
42.46923	72.242866	1
42.47	112.95	2
42.97	122.35	1
43.296482	5.36978	5
43.37822	115.059481	2
43.393247	43.56285	1
43.405649	44.685555	1
43.47001	42.99279	1
43.7	110.28	2
43.82	82.53	1
43.85	113.7	1
43.87	126.57	1
43.95	116.08	1
43.97	120.05	1
44.02	88.11	3
44.03	114.97	2
44.18	86.92	1
44.29	85.56	1
44.3	123.97	1
44.45	84.62	5
44.55	120.87	1
44.67	82.92	1
44.95	81.08	2
45.05	121.47	1
45.2	124.82	1
45.217463	47.062677	1
45.3	95.3	2
45.323359	124.490099	3
45.569582	41.030903	1
45.772866	18.610752	1
46.358805	48.059935	1
47.10023	45.707252	1
47.636863	51.703162	1
48.019573	66.923684	1
48.17231	11.71591	2
48.18	89.5	2
48.288453	11.904854	1
48.370545	10.89779	2
48.398325	89.662591	5
48.962683	10.130151	1
49.128598	-107.425616	1
49.310752	105.922421	1
49.68891	86.079515	14
50.609718	115.708895	1
50.796	17.094	1
52.453	55.16	1
53.456	85.447	1
54.584	90.775	2
54.967082	49.034241	1
55.913699	24.890069	1
58.619533	23.82755	1
59.408	27.026	1
59.93428	30.335099	2
61.52401	105.318756	2
