strain	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	doogal_address	doogal_lat	doogal_long	consensus_address	consensus_lat	consensus_lon
Gyvakarai1	-2535	"Lithuania, Gyvakarai"				"Lithuania, Gyvakarai"	55.913699	24.890069			
KunilaII	-2477	"Estonia, Kunila"				"Estonia, Kunila"	58.619533	23.82755			
Post6	-1923	"Germany, Augsburg"				"Germany, Augsburg"	48.370545	10.89779			
1343UnTal85	-2253	"Germany, Augsburg"				"Germany, Augsburg"	48.370545	10.89779			
GEN72	-2771	"Croatia, Beli Manastir"				"Croatia, Beli Manastir"	45.772866	18.610752			
RK1001	-2770	"Russia, Rasshevatskaya"				"Russia, Rasshevatskaya"	45.569582	41.030903			
CO92	1992	"Colorado, USA"	NA	NA		"Colorado, USA"	39.550051	-105.782067			
Algeria 3	2015	"Algeria, Chott el Hodna"				"Algeria, Chott el Hodna"	35.434491	4.603723			
OBS107	1720-1722	"France, Marseille"				"France, Marseille"	43.296482	5.36978			
OBS110	1720-1722	"France, Marseille"				"France, Marseille"	43.296482	5.36978			
OBS116	1720-1722	"France, Marseille"				"France, Marseille"	43.296482	5.36978			
OBS124	1720-1722	"France, Marseille"				"France, Marseille"	43.296482	5.36978			
OBS137	1720-1722	"France, Marseille"				"France, Marseille"	43.296482	5.36978			
Barcelona3031	1300-1420	"Spain, Barcelona"				"Spain, Barcelona"	41.385064	2.173403			
BolgarCity2370	1298-1388	"Russia, Bolgar City"				"Russia, Bolgar City"	54.967082	49.034241			
Ellwangen549_O	1485-1627	"Germany, Ellwangen"				"Germany, Ellwangen"	48.962683	10.130151			
AE1175	428-571	"Germany, Altenerding"				"Germany, Altenerding"	48.288453	11.904854			
IP674	1952	Turkey				Turkey	38.963745	35.243322			
I1991001	1991	"Inner Mongolia, China"	41.55	108.52		"Inner Mongolia, China"	43.37822	115.059481			
12	2004	"Qinghai, China"	38.2	100.22		"Qinghai, China"	35.744798	96.407736			
5761	1956	"St.Petersberg, Russia"	NA	NA		"St.Petersberg, Russia"	59.93428	30.335099			
164	1985	"Xinjiang, China"	39	88.1		"Xinjiang, China"	42.524636	87.539585			
2	2004	"Qinghai, China"	32.23	96.47		"Qinghai, China"	35.744798	96.407736			
2330	2003	"Xinjiang, China"	44.95	81.08		"Xinjiang, China"	42.524636	87.539585			
2504	2005	"Xinjiang, China"	44.02	88.11		"Xinjiang, China"	42.524636	87.539585			
2506	2005	"Xinjiang, China"	44.02	88.11		"Xinjiang, China"	42.524636	87.539585			
2654	2006	"Xinjiang, China"	44.02	88.11		"Xinjiang, China"	42.524636	87.539585			
30017	1976	"Tibet, China"	31.47	92.1		"Tibet, China"	30.153361	88.787868			
735	1965	"St. Petersberg, Russia"	NA	NA		"St. Petersberg, Russia"	59.93428	30.335099			
34008	1968	"Tibet, China"	29.66	84.15		"Tibet, China"	30.153361	88.787868			
34202	1990	"Tibet, China"	30.37	81.18		"Tibet, China"	30.153361	88.787868			
351001	1996	"Tibet, China"	29.39	90.7		"Tibet, China"	30.153361	88.787868			
G1996010	1996	"Tibet, China"	28.46	92.42		"Tibet, China"	30.153361	88.787868			
G1996006	1996	"Tibet, China"	27.98	91.91		"Tibet, China"	30.153361	88.787868			
A1973001	1973	"Xinjiang, China"	39.7	75.18		"Xinjiang, China"	42.524636	87.539585			
42013	1971	"Xinjiang, China"	44.45	84.62		"Xinjiang, China"	42.524636	87.539585			
42082	1995	"Xinjiang, China"	44.45	84.62		"Xinjiang, China"	42.524636	87.539585			
42091	1999	"Xinjiang, China"	44.45	84.62		"Xinjiang, China"	42.524636	87.539585			
42095	2001	"Xinjiang, China"	44.45	84.62		"Xinjiang, China"	42.524636	87.539585			
H1959004	1959	"Jilin, China"	45.2	124.82		"Jilin, China"	43.152011	126.437138			
