accession	id	warning	biosample_id	biosample_accession	biosample_secondary_accession	bioproject_accession	organism	strain	organization	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	host	biovar	description	publication_date	modification_date
	1		8336759	SAMEA104210777		PRJEB6403	Yersinia pestis	NCTC144	EBI	1920	London/Bombay				Guinea Pig		d15d7ea8-7690-11e7-b3b7-3c4a9275d6c8	2018/01/10	2018/01/20
	2		7633887	SAMEA104233046		PRJEB19335	Yersinia pestis	Gyvakarai1	EBI	-2535	Lithuania, Gyvakarai1				Human		Gyvakarai1	2017/09/11	2017/09/12
	3		7633888	SAMEA104233047		PRJEB19335	Yersinia pestis	KunilaII	EBI	-2477	Estonia, Kunilall				Human		KunilaII	2017/09/11	2017/09/12
	4		7634396	SAMEA104233048		PRJEB19335	Yersinia pestis	Post6	EBI	-1923	Germany, Augsburg				Human		Post6	2017/09/11	2017/09/12
	5		7633889	SAMEA104233049		PRJEB19335	Yersinia pestis	1343UnTal85	EBI	-2253	Germany, Augsburg				Human		1343UnTal85	2017/09/11	2017/09/12
	6		7633890	SAMEA104233050		PRJEB19335	Yersinia pestis	GEN72	EBI	-2771	Croatia, Beli Manastir				Human		GEN72	2017/09/11	2017/09/12
	7		7633891	SAMEA104233051		PRJEB19335	Yersinia pestis	RK1001	EBI	-2770	Russia, Rasshevatskiy				Human		RK1001	2017/09/11	2017/09/12
	8		8399597	SAMEA104281628		PRJEB6403	Yersinia pestis	NCTC5923	European Bioinformatics Institute	1939	London/Javan						NCTC5923	2018/01/26	2018/01/26
	11		4414154	SAMEA3713711		PRJEB12163	Yersinia pestis	OBS107	EBI	1720-1722	France, Marseille				Human		OBS107	2016/05/20	2018/01/20
	12		4414155	SAMEA3713712		PRJEB12163	Yersinia pestis	OBS110	EBI	1720-1722	France, Marseille				Human		OBS110	2016/05/20	2018/01/20
	13		4414156	SAMEA3713713		PRJEB12163	Yersinia pestis	OBS116	EBI	1720-1722	France, Marseille				Human		OBS116	2016/05/20	2018/01/20
	14		4414157	SAMEA3713714		PRJEB12163	Yersinia pestis	OBS124	EBI	1720-1722	France, Marseille				Human		OBS124	2016/05/20	2018/01/20
	15		4414158	SAMEA3713715		PRJEB12163	Yersinia pestis	OBS137	EBI	1720-1722	France, Marseille				Human		OBS137	2016/05/20	2018/01/20
	16		5215669	SAMEA3937653		PRJEB13664	Yersinia pestis	Barcelona3031	EBI	1300-1420	Spain, Barcelona				Human		Barcelona3031	2016/06/11	2016/06/15
	17		5215670	SAMEA3937654		PRJEB13664	Yersinia pestis	BolgarCity2370	EBI	1298-1388	Russia, Bolgar City				Human		BolgarCity2370	2016/06/11	2016/06/15
	18		5215671	SAMEA3937655		PRJEB13664	Yersinia pestis	Ellwangen549_O_c	EBI	1485-1627	Germany, Ellwangen				Human		Ellwangen549_O_c	2016/06/11	2016/06/15
	19		5215672	SAMEA3937656		PRJEB13664	Yersinia pestis	Ellwangen549_O_m	EBI	1485-1627	Germany, Ellwangen				Human		Ellwangen549_O_m	2016/06/11	2016/06/15
	20		5782961	SAMEA4354665		PRJEB14851	Yersinia pestis	AE1175	EBI	428-571	Germany, Altenerding				Human		AE1175; Sample AE1175	2016/10/04	2016/10/05
	22		26263	SAMEA715985		PRJEB2029	Yersinia pestis biovar Orientalis str. IP674	IP674	EBI	1952	Turkey						YPIP674	2016/02/15	2018/01/20
	122	POSSIBLE SECONDARY ACCESSION IN ASSEMBLY	115232	SAMN00115232		PRJNA47685	Yersinia pestis	CMCCo10807	BGI	2001	Qinghai, China				Microtus fuscus		Yersinia pestis strain	2012/01/01	2013/06/12
	212		1853130	SAMN01853130		PRJNA184590	Yersinia pestis 53/91	53/91	Northern Arizona University Center for Microbial Genetics and Genomics	1991	Mahajanga, Madagascar			46.31395349, -15.71171171	flea		Yersinia pestis 53/91 (Yp1030)	2013/02/16	2014/02/25
	213		1853157	SAMN01853157		PRJNA184590	Yersinia pestis 64/91	64/91	Northern Arizona University Center for Microbial Genetics and Genomics	1991	Mahajanga, Madagascar			46.31395349, -15.71171171	human		Yersinia pestis 64/91 (Yp1032)	2013/02/16	2014/02/25
	214		1853158	SAMN01853158		PRJNA184590	Yersinia pestis 154/98 B	154/98 B	Northern Arizona University Center for Microbial Genetics and Genomics	1998	Mahajanga, Madagascar			46.31395349, -15.71171171	human		Yersinia pestis 154/98 (Yp1064)	2013/02/16	2014/02/25
	215		1853159	SAMN01853159		PRJNA184590	Yersinia pestis 17/99 B	17/99 B	Northern Arizona University Center for Microbial Genetics and Genomics	1999	Mahajanga, Madagascar			46.31395349, -15.71171171	human		Yersinia pestis 17/99 (Yp1069)	2013/02/16	2014/02/25
	216	POSSIBLE SECONDARY ACCESSION IN ASSEMBLY	1902218	SAMN01902218		PRJNA38409	Yersinia pestis G1670	G1670	US Army Edgewood Chemical Biological Center	1979	Georgia: Ninotsminda				Flea		General Sample for Yersinia pestis str. G1670	2013/01/27	2013/11/15
	220		1991261	SAMN01991261		PRJNA194125	Yersinia pestis 4139	4139	CosmosID Inc.	1995	USA: NM				cat		Generic sample from Yersinia pestis	2013/03/27	2014/03/06
	221		1991262	SAMN01991262		PRJNA194125	Yersinia pestis 1866	1866	CosmosID Inc.	Unknown	USA: NM				Squirrel		Generic sample from Yersinia pestis	2013/03/27	2014/03/06
	222		1991263	SAMN01991263		PRJNA194125	Yersinia pestis 8607116	8607116	CosmosID Inc.	Unknown	USA: NM				Dog		Generic sample from Yersinia pestis	2013/03/27	2014/03/06
	223		1991264	SAMN01991264		PRJNA194125	Yersinia pestis TS (D5)	TS (D5)	CosmosID Inc.	1953	India/Indonesia						Generic sample from Yersinia pestis	2013/03/27	2014/03/06
