BioSampleAccession	BioSampleStrain	BioSampleBioProjectAccession
SAMEA5851981	MGYG-HGUT-02476	PRJEB33885
SAMEA5818833	TRP002	PRJEB29990
SAMEA5818832	STN032	PRJEB29990
SAMEA5818831	STN031	PRJEB29990
SAMEA5818830	STN021	PRJEB29990
SAMEA5818829	STN020	PRJEB29990
SAMEA5818828	STN019	PRJEB29990
SAMEA5818827	STN018	PRJEB29990
SAMEA5818826	STN014	PRJEB29990
SAMEA5818825	STN013	PRJEB29990
SAMEA5818824	STN012	PRJEB29990
SAMEA5818823	STN011	PRJEB29990
SAMEA5818822	STN008	PRJEB29990
SAMEA5818821	STN007	PRJEB29990
SAMEA5818820	STN005	PRJEB29990
SAMEA5818819	STN004	PRJEB29990
SAMEA5818818	STN002	PRJEB29990
SAMEA5818817	STA001	PRJEB29990
SAMEA5818816	NMS003	PRJEB29990
SAMEA5818815	NMS002	PRJEB29990
SAMEA5818814	NAB005	PRJEB29990
SAMEA5818813	NAB005	PRJEB29990
SAMEA5818812	NAB004	PRJEB29990
SAMEA5818811	NAB003	PRJEB29990
SAMEA5818810	MAN015	PRJEB29990
SAMEA5818809	MAN008	PRJEB29990
SAMEA5818808	LBG002	PRJEB29990
SAMEA5818807	LAI010	PRJEB29990
SAMEA5818806	LAI009	PRJEB29990
SAMEA5818805	ELW098	PRJEB29990
SAMEA5818804	BRA003	PRJEB29990
SAMEA5818803	BRA001	PRJEB29990
SAMEA5818802	BED038	PRJEB29990
SAMEA5818801	BED034	PRJEB29990
SAMEA5818800	BED030	PRJEB29990
SAMEA5818799	BED028	PRJEB29990
SAMEA5818798	BED024	PRJEB29990
