BioSampleAccession	BioSampleBioProjectAccession	BioSampleStrain	BioSampleSRAAccession	BioSampleAccessionSecondary	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost
SAMN02141448	PRJNA64281	PY-01	SRS267443	SAMN00739929	2006	Peru:Chota, San Juan de Licupis, Los Porongos	house mouse
SAMN00739929	PRJNA64281	PY-01	SRS267443	SAMN02141448	2006	Peru:Chota, San Juan de Licupis, Los Porongos	house mouse
SAMN02141449	PRJNA64283	PY-02	SRS258342	SAMN00710637	2006	Peru:Jaen, Santo Domingo de la Capilla, Chamana	black rat
SAMN00710637	PRJNA64283	PY-02	SRS258342	SAMN02141449	2006	Peru:Jaen, Santo Domingo de la Capilla, Chamana	black rat
SAMN02141450	PRJNA64285	PY-03	SRS255993	SAMN00704075	2006	Peru:Jaen, Santo Domingo de la Capilla, Chamana	black rat
SAMN00704075	PRJNA64285	PY-03	SRS255993	SAMN02141450	2006	Peru:Jaen, Santo Domingo de la Capilla, Chamana	black rat
SAMN02141451	PRJNA64287	PY-04	SRS255995	SAMN00704077	2006	Peru:Chota, San Juan de Licupis, Pay Pay	black rat
SAMN00704077	PRJNA64287	PY-04	SRS255995	SAMN02141451	2006	Peru:Chota, San Juan de Licupis, Pay Pay	black rat
SAMN02141452	PRJNA64289	PY-05	SRS256153	SAMN00704239	2006	Peru:Chota, San Juan de Licupis, Pay Pay	black rat
SAMN00704239	PRJNA64289	PY-05	SRS256153	SAMN02141452	2006	Peru:Chota, San Juan de Licupis, Pay Pay	black rat
SAMN02141453	PRJNA64291	PY-06	SRS256154	SAMN00704240	2006	Peru:Chota, San Juan de Licupis, Pay Pay	guinea pig
SAMN00704240	PRJNA64291	PY-06	SRS256154	SAMN02141453	2006	Peru:Chota, San Juan de Licupis, Pay Pay	guinea pig
SAMN02141454	PRJNA64293	PY-07	SRS256155	SAMN00704241	2006	Peru:Chota, San Juan de Licupis, Pay Pay	black rat
SAMN00704241	PRJNA64293	PY-07	SRS256155	SAMN02141454	2006	Peru:Chota, San Juan de Licupis, Pay Pay	black rat
SAMN02141455	PRJNA64295	PY-08	SRS256156	SAMN00704242	2006	Peru:Jean	Homo sapiens
SAMN00704242	PRJNA64295	PY-08	SRS256156	SAMN02141455	2006	Peru:Jean	Homo sapiens
SAMN02141456	PRJNA64297	PY-09	SRS256157	SAMN00704243	2006	Peru:Jean	Homo sapiens
SAMN00704243	PRJNA64297	PY-09	SRS256157	SAMN02141456	2006	Peru:Jean	Homo sapiens
SAMN02141457	PRJNA64299	PY-10	SRS256158	SAMN00704244	2006	Peru:Jean	Homo sapiens
SAMN00704244	PRJNA64299	PY-10	SRS256158	SAMN02141457	2006	Peru:Jean	Homo sapiens
SAMN02141502	PRJNA64389	PY-100	SRS256167	SAMN00704253	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	Norway rat
SAMN00704253	PRJNA64389	PY-100	SRS256167	SAMN02141502	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	Norway rat
SAMN02141503	PRJNA64391	PY-101	SRS256168	SAMN00704254	2010	Peru:Ascope, Santiago de Cao, Cartavio	Homo sapiens
SAMN00704254	PRJNA64391	PY-101	SRS256168	SAMN02141503	2010	Peru:Ascope, Santiago de Cao, Cartavio	Homo sapiens
SAMN02141504	PRJNA64393	PY-102	SRS256170	SAMN00704256	2010	Peru:Ascope, Chicama, Sausal	southern opossum
SAMN00704256	PRJNA64393	PY-102	SRS256170	SAMN02141504	2010	Peru:Ascope, Chicama, Sausal	southern opossum
SAMN02141505	PRJNA64395	PY-103	SRS256169	SAMN00704255	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	southern opossum
SAMN00704255	PRJNA64395	PY-103	SRS256169	SAMN02141505	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	southern opossum
SAMN02141458	PRJNA64301	PY-11	SRS256160	SAMN00704246	2007	Peru:Chota	Homo sapiens
SAMN00704246	PRJNA64301	PY-11	SRS256160	SAMN02141458	2007	Peru:Chota	Homo sapiens
SAMN02141506	PRJNA64397	PY-113	SRS256171	SAMN00704257	2010	Peru:Ascope	Homo sapiens
SAMN00704257	PRJNA64397	PY-113	SRS256171	SAMN02141506	2010	Peru:Ascope	Homo sapiens
SAMN02141459	PRJNA64303	PY-12	SRS256161	SAMN00704247	2008	Peru:Jean	Homo sapiens
SAMN00704247	PRJNA64303	PY-12	SRS256161	SAMN02141459	2008	Peru:Jean	Homo sapiens
SAMN02141460	PRJNA64305	PY-13	SRS256162	SAMN00704248	2008	Peru:Santa Cruz	Homo sapiens
SAMN00704248	PRJNA64305	PY-13	SRS256162	SAMN02141460	2008	Peru:Santa Cruz	Homo sapiens
SAMN02141461	PRJNA64307	PY-14	SRS256163	SAMN00704249	2009	Peru:Ascope, Casa Grande, Toma Jauregui	black rat
SAMN00704249	PRJNA64307	PY-14	SRS256163	SAMN02141461	2009	Peru:Ascope, Casa Grande, Toma Jauregui	black rat
SAMN02141462	PRJNA64309	PY-15	SRS256164	SAMN00704250	2009	Peru:Ascope, Casa Grande, Toma Jauregui	Homo sapiens
SAMN00704250	PRJNA64309	PY-15	SRS256164	SAMN02141462	2009	Peru:Ascope, Casa Grande, Toma Jauregui	Homo sapiens
SAMN02141463	PRJNA64311	PY-16	SRS256165	SAMN00704251	2009	Peru:Ascope, Casa Grande, Toma Jauregui	Homo sapiens
SAMN00704251	PRJNA64311	PY-16	SRS256165	SAMN02141463	2009	Peru:Ascope, Casa Grande, Toma Jauregui	Homo sapiens
SAMN02141464	PRJNA64313	PY-19	SRS256166	SAMN00704252	2010	Peru:Ascope, Casa Grande, Toma Jauregui	rodent
SAMN00704252	PRJNA64313	PY-19	SRS256166	SAMN02141464	2010	Peru:Ascope, Casa Grande, Toma Jauregui	rodent
SAMN02141465	PRJNA64315	PY-25	SRS256179	SAMN00704265	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	house mouse
SAMN00704265	PRJNA64315	PY-25	SRS256179	SAMN02141465	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	house mouse
SAMN02141466	PRJNA64317	PY-29	SRS256180	SAMN00704266	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	house mouse
SAMN00704266	PRJNA64317	PY-29	SRS256180	SAMN02141466	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	house mouse
SAMN02141467	PRJNA64319	PY-32	SRS256183	SAMN00704269	2010	Peru:Ascope, Chicama, Chicama	Homo sapiens
SAMN00704269	PRJNA64319	PY-32	SRS256183	SAMN02141467	2010	Peru:Ascope, Chicama, Chicama	Homo sapiens
SAMN02141468	PRJNA64321	PY-34	SRS256181	SAMN00704267	2010	Peru:Ascope, Chicama, La Libertad, AA.HH.	domestic cat
