id	Assembly_id	AssemblyAccession	BioSampleAccession	BioSampleID	GenbankBioprojectAccession	GenbankID	RefseqBioprojectAccession	RefSeqCategory	RefSeqID	WGSAccession	Infraspecies	Isolate	Organism	SpeciesTaxonomicID	SpeciesName	TaxonomicID	AssemblyName	AssemblyStatus	AssemblyType	AssemblyCoverage	Chromosomes	ContigCount	ContigN50	ContigL50	NonChromosomalReplicons	Replicons	Scaffolds	ScaffoldN50	ScaffoldL50	TotalLength	UngappedLength	SubmitterOrganization	SubmissionDate	ReleaseDate	FTPAssemblyReport	FTPGenbank	FTPRefSeq	FTPStatsReport
1	1702541	GCA_003086155.1	SAMN05017638	5017638	PRJNA322120	6441968	None	na	None	LYCN01	M-1448	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308615v1	Contig	haploid	48	0	420	31349	49	0	0	0	31349	49	4525103	4525103	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/155/GCA_003086155.1_ASM308615v1/GCA_003086155.1_ASM308615v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/155/GCA_003086155.1_ASM308615v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/155/GCA_003086155.1_ASM308615v1/GCA_003086155.1_ASM308615v1_assembly_stats.txt
2	1702521	GCA_003086115.1	SAMN05017652	5017652	PRJNA322122	6441918	None	na	None	LYCO01	A-1920	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308611v1	Contig	haploid	48	0	422	24265	63	0	0	0	24265	63	4555877	4555877	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/115/GCA_003086115.1_ASM308611v1/GCA_003086115.1_ASM308611v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/115/GCA_003086115.1_ASM308611v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/115/GCA_003086115.1_ASM308611v1/GCA_003086115.1_ASM308611v1_assembly_stats.txt
3	1702511	GCA_003086095.1	SAMN05017693	5017693	PRJNA322131	6441908	None	na	None	LYCP01	M-1524	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308609v1	Contig	haploid	48	0	488	25089	59	0	0	0	25089	59	4616738	4616738	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/095/GCA_003086095.1_ASM308609v1/GCA_003086095.1_ASM308609v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/095/GCA_003086095.1_ASM308609v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/095/GCA_003086095.1_ASM308609v1/GCA_003086095.1_ASM308609v1_assembly_stats.txt
4	1702501	GCA_003086075.1	SAMN05017610	5017610	PRJNA322117	6441878	None	na	None	LYCM01	A-1825	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308607v1	Contig	haploid	48	0	707	13248	105	0	0	0	13248	105	4535418	4535418	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/075/GCA_003086075.1_ASM308607v1/GCA_003086075.1_ASM308607v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/075/GCA_003086075.1_ASM308607v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/075/GCA_003086075.1_ASM308607v1/GCA_003086075.1_ASM308607v1_assembly_stats.txt
5	1702491	GCA_003086055.1	SAMN05162559	5162559	PRJNA322430	6441858	None	na	None	LYOH01	595	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308605v1	Contig	haploid	48	0	269	39359	41	0	0	0	39359	41	4584858	4584858	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/055/GCA_003086055.1_ASM308605v1/GCA_003086055.1_ASM308605v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/055/GCA_003086055.1_ASM308605v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/055/GCA_003086055.1_ASM308605v1/GCA_003086055.1_ASM308605v1_assembly_stats.txt
6	1702481	GCA_003086015.1	SAMN05162583	5162583	PRJNA322436	6441838	None	na	None	LYOK01	M-1944	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308601v1	Contig	haploid	48	0	628	26678	56	0	0	0	26678	56	4582641	4582641	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/015/GCA_003086015.1_ASM308601v1/GCA_003086015.1_ASM308601v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/015/GCA_003086015.1_ASM308601v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/015/GCA_003086015.1_ASM308601v1/GCA_003086015.1_ASM308601v1_assembly_stats.txt
7	1702471	GCA_003086035.1	SAMN05017606	5017606	PRJNA322116	6441828	None	na	None	LYCL01	2751-55	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308603v1	Contig	haploid	48	0	278	35069	44	0	0	0	35069	44	4582594	4582594	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/035/GCA_003086035.1_ASM308603v1/GCA_003086035.1_ASM308603v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/035/GCA_003086035.1_ASM308603v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/035/GCA_003086035.1_ASM308603v1/GCA_003086035.1_ASM308603v1_assembly_stats.txt
8	1702461	GCA_003085995.1	SAMN05162893	5162893	PRJNA322444	6441798	None	na	None	LYOM01	1906	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308599v1	Contig	haploid	48	0	301	34970	48	0	0	0	34970	48	4573713	4573713	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/995/GCA_003085995.1_ASM308599v1/GCA_003085995.1_ASM308599v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/995/GCA_003085995.1_ASM308599v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/995/GCA_003085995.1_ASM308599v1/GCA_003085995.1_ASM308599v1_assembly_stats.txt
9	1702451	GCA_003085975.1	SAMN05162580	5162580	PRJNA322432	6441778	None	na	None	LYOI01	1530	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308597v1	Contig	haploid	48	0	447	31893	48	0	0	0	31893	48	4529233	4529233	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/975/GCA_003085975.1_ASM308597v1/GCA_003085975.1_ASM308597v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/975/GCA_003085975.1_ASM308597v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/975/GCA_003085975.1_ASM308597v1/GCA_003085975.1_ASM308597v1_assembly_stats.txt
10	1702441	GCA_003085955.1	SAMN05150105	5150105	PRJNA322260	6441758	None	na	None	LYMS01	1313	None	Yersinia pestis (enterobacteria)	632	Yersinia pestis	632	ASM308595v1	Contig	haploid	48	0	235	37519	42	0	0	0	37519	42	4598307	4598307	Russian Research Anti-Plague Institute Microbe	2018/05/02 00:00	2018/05/02 00:00	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/955/GCA_003085955.1_ASM308595v1/GCA_003085955.1_ASM308595v1_assembly_report.txt	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/955/GCA_003085955.1_ASM308595v1	None	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/955/GCA_003085955.1_ASM308595v1/GCA_003085955.1_ASM308595v1_assembly_stats.txt
