id	assembly_id	accession	organism	infraspecies	assembly_status	organization	taxid	biosample	coverage	replicon_count	chromosome_count	non_chromosome_replicon_count	contig_count	contig_l50_count	contig_n50_count	scaffold	scaffold_l50_count	scaffold_n50_count	total_length	ungapped_length	genbank_bioproject	wgs_project	submission_date	sequence_release_date	assembly_release_date	id	warning	biosample_id	biosample_accession	biosample_secondary_accession	bioproject_accession	organism	strain	organization	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	host	biovar	description	publication_date	modification_date
181	611108	GCF_000320445.1	Yersinia pestis 2 (enterobacteria)	2	Contig	Beijing Genomics Institute	755866	SAMN02402993	61	0	0	0	1057	148	9482	1057	148	9482	4453910	4453910	PRJNA47685	ADOX01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	28		2402993	SAMN00115138	SAMN02402993	PRJNA47685	Yersinia pestis 2	2	Beijing Genomics Institute	2004	"Qinghai, China"	32.23	96.47		Human	Antiqua	Generic sample from Yersinia pestis 2	2013-11-15	2014-03-07
168	611368	GCF_000323445.1	Yersinia pestis 5 (enterobacteria)	5	Contig	Beijing Genomics Institute	755880	SAMN02403006	82	0	0	0	1008	162	8819	1008	162	8819	4478071	4478071	PRJNA47685	ADPK01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	46		2403006	SAMN00115156	SAMN02403006	PRJNA47685	Yersinia pestis 5	5	Beijing Genomics Institute	2004	"Qinghai, China"	36.9	98.46		Human	Antiqua	Generic sample from Yersinia pestis 5	2013-11-15	2014-03-07
165	611428	GCF_000323505.1	Yersinia pestis 7 (enterobacteria)	7	Contig	Beijing Genomics Institute	755889	SAMN02403009	111	0	0	0	768	115	12162	768	115	12162	4539616	4539616	PRJNA47685	ADPN01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	54		2403009	SAMN00115164	SAMN02403009	PRJNA47685	Yersinia pestis 7	7	Beijing Genomics Institute	2004	"Qinghai, China"	36.9	98.46		Human	Antiqua	Generic sample from Yersinia pestis 7	2013-11-15	2014-03-07
330	88271	GCA_000475095.2	Yersinia pestis 9 (enterobacteria)	9	Scaffold	"National Centre for Cell Science, Pune - 411007, India"	755896	SAMN02470616	0	1	0	1	141	33	50849	140	33	50849	4499746	4499746	PRJNA201408	AXDF01	2013-12-19 0:00	2013-12-19 0:00	2013-12-19 0:00	299		2470616	SAMN02470616		PRJNA201408	Yersinia pestis 9	9	NCBI	2004	"Qinghai, China"	33.35	97.12		Human	Antiqua	Sample from Yersinia pestis 9	2013-12-19	2015-05-18
159	611548	GCF_000323625.1	Yersinia pestis 9 (enterobacteria)	9	Contig	Beijing Genomics Institute	755896	SAMN02403015	44	0	0	0	1336	197	6786	1336	197	6786	4452201	4452201	PRJNA47685	ADPT01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	58		2403015	SAMN00115168	SAMN02403015	PRJNA47685	Yersinia pestis 9	9	Beijing Genomics Institute	2004	"Qinghai, China"	33.35	97.12		Human	Antiqua	Generic sample from Yersinia pestis 9	2013-11-15	2014-03-07
183	611068	GCF_000320425.1	Yersinia pestis 12 (enterobacteria)	12	Contig	Beijing Genomics Institute	755859	SAMN02402991	55	0	0	0	1092	151	8897	1092	151	8897	4368767	4368767	PRJNA47685	ADOV01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	25		2402991	SAMN00115135	SAMN02402991	PRJNA47685	Yersinia pestis 12	12	Beijing Genomics Institute	2004	"Qinghai, China"	38.2	100.22		Human	Antiqua	Generic sample from Yersinia pestis 12	2013-11-15	2014-03-07
158	611568	GCF_000323645.1	Yersinia pestis 91 (enterobacteria)	91	Contig	Beijing Genomics Institute	755893	SAMN02403016	85	0	0	0	906	134	10202	906	134	10202	4366271	4366271	PRJNA47685	ADPU01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	59		2403016	SAMN00115169	SAMN02403016	PRJNA47685	Yersinia pestis 91	91	Beijing Genomics Institute	1987	"Xinjiang, China"	38.09	85.32		Oropsylla silantiewi	Mediaevalis	Generic sample from Yersinia pestis 91	2013-11-15	2014-03-07
329	88281	GCF_000475115.2	Yersinia pestis 113 (enterobacteria)	113	Scaffold	"National Centre for Cell Science, Pune - 411007, India"	1330535	SAMN02470617	0	2	0	2	141	33	50973	139	33	50973	4571407	4571407	PRJNA201410	AXDG01	2013-12-19 0:00	2013-12-19 0:00	2013-12-19 0:00	300		2470617	SAMN02470617		PRJNA201410	Yersinia pestis 113	113	NCBI	1994	India: Surat				Rattus rattus		Sample from Yersinia pestis 113	2013-12-19	2015-05-18
182	611088	GCF_000323185.1	Yersinia pestis 164 (enterobacteria)	164	Contig	Beijing Genomics Institute	755861	SAMN02402992	50	0	0	0	1053	153	9618	1053	153	9618	4444813	4444813	PRJNA47685	ADOW01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	27		2402992	SAMN00115137	SAMN02402992	PRJNA47685	Yersinia pestis 164	164	Beijing Genomics Institute	1985	"Xinjiang, China"	39	88.1		Oropsylla silantiewi	Antiqua	Generic sample from Yersinia pestis 164	2013-11-15	2014-03-07
36	724381	GCF_001617805.1	Yersinia pestis (enterobacteria)	173	Contig	"Russian Research Anti-Plague institute ""Microbe"""	632	SAMN04376919	48	0	0	0	316	47	33020	316	47	33020	4569957	4569957	PRJNA307218	LQAZ01	2016-04-08 0:00	2016-04-08 0:00	2016-04-08 0:00	435		4376919	SAMN04376919		PRJNA307218	Yersinia pestis	173	"Russian Research Anti-Plague institute ""Microbe"""	1978	missing			missing	Rhombomys opimus		Pathogen: environmental/food/other sample from Yersinia pestis	2015-12-30	2015-12-30
161	611508	GCF_000323585.1	Yersinia pestis 735 (enterobacteria)	735	Contig	Beijing Genomics Institute	755868	SAMN02403013	59	0	0	0	882	150	9511	882	150	9511	4423715	4423715	PRJNA47685	ADPR01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	34		2403013	SAMN00115144	SAMN02403013	PRJNA47685	Yersinia pestis 735	735	Beijing Genomics Institute	1965	"St.Petersberg, Russia"	NA	NA		Rattus norvegicus	Antiqua	Generic sample from Yersinia pestis 735	2013-11-15	2014-03-07
282	431691	GCF_001188675.1	Yersinia pestis 790 (enterobacteria)	790	Chromosome	Los Alamos National Laboratory	1345701	SAMN02769799	0	3	1	2	4	1	3229469	0	1	4629525	4781906	4781806	PRJNA208248		2015-07-30 0:00	2015-07-30 0:00	2015-07-30 0:00	329		2769799	SAMN02769799		PRJNA208248	Yersinia pestis 790	790	Los Alamos National Laboratory	1961	Kyrgyzstan				Red marmot	Antiqua	Microbe sample from Yersinia pestis 790	2014-05-12	2014-11-06
157	611588	GCF_000323665.1	Yersinia pestis 945 (enterobacteria)	945	Contig	Beijing Genomics Institute	755894	SAMN02403017	53	0	0	0	1243	171	7849	1243	171	7849	4226749	4226749	PRJNA47685	ADPV01	2012-12-07 0:00	2012-12-07 0:00	2012-12-07 0:00	61		2403017	SAMN00115171	SAMN02403017	PRJNA47685	Yersinia pestis 945	945	Beijing Genomics Institute	1994	"Xinjiang, China"	44.29	85.56		Human flea	Antiqua	Generic sample from Yersinia pestis 945	2013-11-15	2014-03-07
279	431721	GCF_001188735.1	Yersinia pestis 1045 (enterobacteria)	1045	Chromosome	Los Alamos National Laboratory	1345710	SAMN03943674	0	4	1	3	5	1	2573794	0	1	4502257	4684080	4683980	PRJNA208260		2015-07-30 0:00	2015-07-30 0:00	2015-07-30 0:00	390		3943674	SAMN03943674		PRJNA208260	Yersinia pestis 1045	1045	"Los Alamos National Laboratory, BioScience"	1976	Azerbaijan				Gerbil	Medievalis	Sample from Yersinia pestis 1045	2015-07-29	2015-07-29
281	431701	GCF_001188695.1	Yersinia pestis 1412 (enterobacteria)	1412	Complete Genome	Los Alamos National Laboratory	1345703	SAMN03782999	0	3	1	2	3	1	4524943	0	1	4524943	4733482	4733482	PRJNA208250		2015-07-30 0:00	2015-07-30 0:00	2015-07-30 0:00	361		3782999	SAMN03782999		PRJNA208250	Yersinia pestis 1412	1412	"Los Alamos National Laboratory, BioScience"	1979	Georgia: Dalidag				Flea	Pestoides	Sample from Yersinia pestis 1412	2015-06-19	2015-06-19
274	431821	GCF_001188935.1	Yersinia pestis 1413 (enterobacteria)	1413	Complete Genome	Los Alamos National Laboratory	1345704	SAMN03783058	150.2	3	1	2	3	1	4528383	0	1	4528383	4736923	4736923	PRJNA208251		2015-07-30 0:00	2015-07-30 0:00	2015-07-30 0:00	363		3783058	SAMN03783058		PRJNA208251	Yersinia pestis 1413	1413	"Los Alamos National Laboratory, BioScience"	1979	Georgia: Ninotsminda				Flea	Pestoides	Sample from Yersinia pestis 1413	2015-06-19	2015-06-19
280	431711	GCF_001188715.1	Yersinia pestis 1522 (enterobacteria)	1522	Complete Genome	Los Alamos National Laboratory	1345705	SAMN03783057	1022	3	1	2	3	1	4530125	0	1	4530125	4738644	4738644	PRJNA208252		2015-07-30 0:00	2015-07-30 0:00	2015-07-30 0:00	362		3783057	SAMN03783057		PRJNA208252	Yersinia pestis 1522	1522	"Los Alamos National Laboratory, BioScience"	1975	Armenia				Common vole	Pestoides	Sample from Yersinia pestis 1522	2015-06-19	2015-06-19
