id	assembly_id	accession	organism	infraspecies	assembly_status	organization	taxid	biosample	coverage	replicon_count	chromosome_count	non_chromosome_replicon_count	contig_count	contig_l50_count	contig_n50_count	scaffold	scaffold_l50_count	scaffold_n50_count	total_length	ungapped_length	genbank_bioproject	wgs_project	submission_date	sequence_release_date	assembly_release_date	id	warning	biosample_id	biosample_accession	biosample_secondary_accession	bioproject_accession	organism	strain	organization	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	host	biovar	description	publication_date	modification_date
23	1009211	GCA_002005285.1	Yersinia pestis (enterobacteria)	195/P	Complete Genome	NHGRI/NIH	632	SAMN06161235	40.0	4	1	3	4	1	4655691	0	1	4655691	4831198	4831198	PRJNA357858		2017/02/21 00:00	2017/02/21 00:00	2017/02/21 00:00	535		6161235	SAMN06161235		PRJNA357858	Yersinia pestis	195/P	NHGRI/NIH	<1950	Bombay, India				Human		Microbe sample from Yersinia pestis	2016/12/16	2016/12/16
33	774571	GCF_001693595.1	Yersinia pestis (enterobacteria)	Cadman	Complete Genome	USAMRIID	632	SAMN05282282	450.0	4	1	3	4	1	4602429	0	1	4602429	4778555	4778555	PRJNA326509		2016/07/26 00:00	2016/07/26 00:00	2016/07/26 00:00	459		5282282	SAMN05282282		PRJNA326509	Yersinia pestis	Cadman	USAMRIID	1965	Gallup, New Mexico, USA			missing	Human		Pathogen: clinical or host-associated sample from Yersinia pestis YERS112	2016/07/25	2016/07/25
274	431821	GCF_001188935.1	Yersinia pestis 1413 (enterobacteria)	1413	Complete Genome	Los Alamos National Laboratory	1345704	SAMN03783058	150.2	3	1	2	3	1	4528383	0	1	4528383	4736923	4736923	PRJNA208251		2015/07/30 00:00	2015/07/30 00:00	2015/07/30 00:00	363		3783058	SAMN03783058		PRJNA208251	Yersinia pestis 1413	1413	Los Alamos National Laboratory, BioScience	1979	Georgia: Ninotsminda				Flea	Pestoides	Sample from Yersinia pestis 1413	2015/06/19	2015/06/19
275	431761	GCF_001188815.1	Yersinia pestis 2944 (enterobacteria)	2944	Complete Genome	Los Alamos National Laboratory	1345702	SAMN03941711	0.0	4	1	3	4	1	4491639	0	1	4491639	4672740	4672740	PRJNA208249		2015/07/30 00:00	2015/07/30 00:00	2015/07/30 00:00	384		3941711	SAMN03941711		PRJNA208249	Yersinia pestis 2944	2944	Los Alamos National Laboratory, BioScience	1975	Kabardino-Balkaria, Russia				Gopher	Medievalis	Sample from Yersinia pestis 2944	2015/07/29	2015/07/29
276	431751	GCF_001188795.1	Yersinia pestis 3067 (enterobacteria)	3067	Complete Genome	Los Alamos National Laboratory	1345706	SAMN03943655	158.4	3	1	2	3	1	4526841	0	1	4526841	4736090	4736090	PRJNA208254		2015/07/30 00:00	2015/07/30 00:00	2015/07/30 00:00	389		3943655	SAMN03943655		PRJNA208254	Yersinia pestis 3067	3067	Los Alamos National Laboratory, BioScience	1982	Akhalkalaki, Georgia				Flea	Pestoides	Sample from Yersinia pestis 3067	2015/07/29	2015/07/29
277	431741	GCF_001188775.1	Yersinia pestis 3770 (enterobacteria)	3770	Complete Genome	Los Alamos National Laboratory	1345707	SAMN03943654	84.9	3	1	2	3	1	4523206	0	1	4523206	4735667	4735667	PRJNA208257		2015/07/30 00:00	2015/07/30 00:00	2015/07/30 00:00	388		3943654	SAMN03943654		PRJNA208257	Yersinia pestis 3770	3770	Los Alamos National Laboratory, BioScience	1983	Ninotsminda, Georgia				Flea	Pestoides	Sample from Yersinia pestis 3770	2015/07/29	2015/07/29
278	431731	GCF_001188755.1	Yersinia pestis 8787 (enterobacteria)	8787	Complete Genome	Los Alamos National Laboratory	1345708	SAMN03943569	152.0	3	1	2	3	1	4467447	0	1	4467447	4675987	4675987	PRJNA208258		2015/07/30 00:00	2015/07/30 00:00	2015/07/30 00:00	387		3943569	SAMN03943569		PRJNA208258	Yersinia pestis 8787	8787	Los Alamos National Laboratory, BioScience	1992	Ninotsminda, Georgia				Common vole	Pestoides	Sample from Yersinia pestis 8787	2015/07/29	2015/07/29
279	431721	GCF_001188735.1	Yersinia pestis 1045 (enterobacteria)	1045	Chromosome	Los Alamos National Laboratory	1345710	SAMN03943674	0.0	4	1	3	5	1	2573794	0	1	4502257	4684080	4683980	PRJNA208260		2015/07/30 00:00	2015/07/30 00:00	2015/07/30 00:00	390		3943674	SAMN03943674		PRJNA208260	Yersinia pestis 1045	1045	Los Alamos National Laboratory, BioScience	1976	Azerbaijan				Gerbil	Medievalis	Sample from Yersinia pestis 1045	2015/07/29	2015/07/29
280	431711	GCF_001188715.1	Yersinia pestis 1522 (enterobacteria)	1522	Complete Genome	Los Alamos National Laboratory	1345705	SAMN03783057	1022.0	3	1	2	3	1	4530125	0	1	4530125	4738644	4738644	PRJNA208252		2015/07/30 00:00	2015/07/30 00:00	2015/07/30 00:00	362		3783057	SAMN03783057		PRJNA208252	Yersinia pestis 1522	1522	Los Alamos National Laboratory, BioScience	1975	Armenia				Common vole	Pestoides	Sample from Yersinia pestis 1522	2015/06/19	2015/06/19
281	431701	GCF_001188695.1	Yersinia pestis 1412 (enterobacteria)	1412	Complete Genome	Los Alamos National Laboratory	1345703	SAMN03782999	0.0	3	1	2	3	1	4524943	0	1	4524943	4733482	4733482	PRJNA208250		2015/07/30 00:00	2015/07/30 00:00	2015/07/30 00:00	361		3782999	SAMN03782999		PRJNA208250	Yersinia pestis 1412	1412	Los Alamos National Laboratory, BioScience	1979	Georgia: Dalidag				Flea	Pestoides	Sample from Yersinia pestis 1412	2015/06/19	2015/06/19
